model,image,source_index,width,height,region_count,paths_per_region,path_count,mse,psnr_db,ssim,lpips,preprocess_seconds,network_seconds,render_seconds,svg_export_seconds,inference_seconds,metric_seconds,peak_extra_gpu_mb,svg_bytes,input_png_bytes,svg_xml_valid,svg_diffvg_reload_valid,svg_path_count
paths32_e04,007905920170535.jpg,10,256,174,11,32,352,0.03304184710869634,14.809356826987543,0.16342873871326447,0.6117580533027649,0.03614039999956731,0.019068900001002476,0.1680142999975942,0.02563779999036342,0.2488613999885274,0.018234499992104247,80.36328125,156896,85383,True,True,352
paths32_e04,007913903430462.jpg,11,256,171,11,32,352,0.021584338306332138,16.65861260619641,0.30348578095436096,0.5660800933837891,0.027642000000923872,0.017686500010313466,0.14280769998731557,0.02947340000537224,0.21760960000392515,0.01451979999546893,80.36328125,159896,71581,True,True,352
paths32_e04,0079155434536247.jpg,12,192,256,13,32,416,0.005465184676314866,22.62395158041933,0.4541328251361847,0.47439637780189514,0.028653000001213513,0.018045699995127507,0.15857369999866933,0.03187840001191944,0.23715080000692979,0.0152168999920832,86.3115234375,187726,60171,True,True,416
paths32_e06,0078807977709.jpg,1,256,192,5,32,160,0.03967325934158475,14.015021187615996,0.2883256673812866,0.5327666401863098,0.029838899994501844,0.01650060000247322,0.0870427999907406,0.012660199994570576,0.14604249998228624,0.015569100010907277,60.6611328125,73006,82725,True,True,160
paths32_e06,007883581521552.jpg,2,192,256,12,32,384,0.014277509470577479,18.453475430862742,0.4293948709964752,0.502821147441864,0.031844099998124875,0.020888099999865517,0.17151790000207257,0.026351499996962957,0.2506015999970259,0.014365499999257736,81.091796875,173654,75482,True,True,384
paths32_e06,007885703398766.jpg,3,256,155,13,32,416,0.007890546552250728,21.028929135959487,0.35337796807289124,0.46036314964294434,0.03508839999267366,0.0183075000095414,0.16272329998901114,0.027351400000043213,0.2434705999912694,0.011997599998721853,86.3115234375,191659,74700,True,True,416
paths32_e06,0078883873062625.jpg,4,226,256,9,32,288,0.0427375997702061,13.691898723410198,0.26158416271209717,0.5740254521369934,0.033627099997829646,0.016398599997046404,0.12957340000139084,0.0256154999951832,0.2052145999914501,0.014561100004357286,73.6201171875,135595,99265,True,True,288
paths32_e06,007890039314897.jpg,5,256,192,13,32,416,0.0072005368523293594,21.42635122553116,0.4006997048854828,0.5969356894493103,0.031253900000592694,0.01819919999979902,0.16106410000065807,0.027090000003227033,0.23760720000427682,0.01594900000782218,86.3115234375,194238,92663,True,True,416
paths32_e06,0078936124638016.jpg,6,256,192,10,32,320,0.014274655541805832,18.45434362808762,0.6666162610054016,0.5254840850830078,0.030677999995532446,0.017224900002474897,0.13683770000352524,0.028265600005397573,0.21300620000693016,0.014912200000253506,78.5498046875,151608,50125,True,True,320
paths32_e06,007898638891341.jpg,7,256,192,13,32,416,0.007758758433621031,21.1020776953655,0.6047468185424805,0.44011417031288147,0.028849299997091293,0.018492500006686896,0.16713800000434276,0.027051400000345893,0.24153120000846684,0.01510559998860117,86.3115234375,191741,60633,True,True,416
paths32_e06,0079009956418858.jpg,8,256,170,10,32,320,0.029178386017436338,15.349387344818764,0.2612263858318329,0.5746381282806396,0.03010119999817107,0.01705930000753142,0.13264489998982754,0.02140450000297278,0.2012098999985028,0.034297699996386655,78.5498046875,145916,84616,True,True,320
paths32_e06,0079032705365287.jpg,9,170,256,13,32,416,0.01726902042727613,17.62732296775001,0.5164338946342468,0.5630682706832886,0.03186909999931231,0.021115200011990964,0.17161929998837877,0.02722620000713505,0.2518298000068171,0.01411960000405088,86.3115234375,191677,48497,True,True,416
paths32_e06,007905920170535.jpg,10,256,174,11,32,352,0.03271235233545033,14.85288224766089,0.20239055156707764,0.5878469347953796,0.0333431000035489,0.026233399999910034,0.1460296000004746,0.023719200005871244,0.22932530000980478,0.017386299994541332,80.36328125,156754,85383,True,True,352
paths32_e06,007913903430462.jpg,11,256,171,11,32,352,0.01867649103908461,17.28704716195431,0.33583423495292664,0.5398143529891968,0.02669169999717269,0.01884829999471549,0.1615754999947967,0.02342050000152085,0.23053599998820573,0.014940900000510737,80.36328125,159141,71581,True,True,352
paths32_e06,0079155434536247.jpg,12,192,256,13,32,416,0.0036120393943019236,24.422475217487186,0.5753809213638306,0.4631485641002655,0.03281869999773335,0.018255700008012354,0.2530108999926597,0.03015150000283029,0.3342368000012357,0.016704800000297837,86.3115234375,187765,60171,True,True,416
paths32_e09,0078807977709.jpg,1,256,192,5,32,160,0.031470987659702555,15.02089627330565,0.31729528307914734,0.47338882088661194,0.024778500010143034,0.01545320000150241,0.07247250000364147,0.011665700003504753,0.12436990001879167,0.014863000003970228,60.6611328125,73088,82725,True,True,160
paths32_e09,007883581521552.jpg,2,192,256,12,32,384,0.010593204059808917,19.749726617023807,0.463489294052124,0.45282942056655884,0.03319360000023153,0.016832199995405972,0.14719100001093466,0.02570640000340063,0.2229232000099728,0.015307299996493384,81.091796875,173497,75482,True,True,384
paths32_e09,007885703398766.jpg,3,256,155,13,32,416,0.005410863146112197,22.66733450292131,0.38944026827812195,0.42739731073379517,0.026044700003694743,0.03191700000024866,0.16499239999393467,0.02966270000615623,0.2526168000040343,0.011561200008145534,86.3115234375,191501,74700,True,True,416
paths32_e09,0078883873062625.jpg,4,226,256,9,32,288,0.03458511459213451,14.611107810190074,0.29553771018981934,0.548168957233429,0.035775700001977384,0.01862550000078045,0.12067969999043271,0.022460100008174777,0.19754100000136532,0.01678900000115391,73.6201171875,135583,99265,True,True,288
paths32_e09,007890039314897.jpg,5,256,192,13,32,416,0.006048790649680783,22.183314462848102,0.4167037308216095,0.560305118560791,0.029350599987083115,0.018792199989547953,0.1771876999991946,0.029764399994746782,0.25509489997057244,0.01671230001375079,86.3115234375,194290,92663,True,True,416
paths32_e09,0078936124638016.jpg,6,256,192,10,32,320,0.013643531834646987,18.650731914280666,0.6694081425666809,0.4971849322319031,0.03317939999396913,0.02209739999671001,0.13326149999920744,0.02234570001019165,0.21088400000007823,0.016253399997367524,78.5498046875,151719,50125,True,True,320
paths32_e09,007898638891341.jpg,7,256,192,13,32,416,0.005751725432499239,22.402018538485002,0.6322076916694641,0.41192781925201416,0.034707299986621365,0.018681200002902187,0.18593669999972917,0.02729499999259133,0.26662019998184405,0.014404600005946122,86.3115234375,191879,60633,True,True,416
paths32_e09,0079009956418858.jpg,8,256,170,10,32,320,0.02542272824634658,15.947778448616951,0.2874448299407959,0.5420361757278442,0.0272629999963101,0.017102600002544932,0.136163300005137,0.022971099999267608,0.20350000000325963,0.0344967999990331,78.5498046875,146018,84616,True,True,320
paths32_e09,0079032705365287.jpg,9,170,256,13,32,416,0.01097647804926878,19.595369867650184,0.5652670860290527,0.5166871547698975,0.03560880001168698,0.01980970001022797,0.1882049999985611,0.027049199998145923,0.270672700018622,0.014753600000403821,86.3115234375,191681,48497,True,True,416
paths32_e09,007905920170535.jpg,10,256,174,11,32,352,0.03354729321658671,14.743425153913659,0.21988661587238312,0.573836088180542,0.03154700000595767,0.019422199999098666,0.15024419999099337,0.02794509999512229,0.229158499991172,0.016231100002187304,80.36328125,156558,85383,True,True,352
paths32_e09,007913903430462.jpg,11,256,171,11,32,352,0.013392488481992851,18.731387184633427,0.3735705614089966,0.48569968342781067,0.027148099994519725,0.020079300011275336,0.1467049000057159,0.025011299992911518,0.21894360000442248,0.013584200001787394,80.36328125,159148,71581,True,True,352
paths32_e09,0079155434536247.jpg,12,192,256,13,32,416,0.0029589461962445615,25.28862931725658,0.6219374537467957,0.40995505452156067,0.02894979999109637,0.020645800002967007,0.24863339999865275,0.027348300005542114,0.32557729999825824,0.01486720000684727,86.3115234375,187983,60171,True,True,416
